# Problem = StaticVNFPlacementProblem
# Variables = 1
# Objectives = 6
28,29,24,32,13,30,19,9,3,8,31,11,17,22,27,18,23,14,1,6,15,21,25,10,5,0,12,7,20,2,16,4,26 1127.0 34.76 10.0 43900.0 0.895649404877025 23.22
28,29,24,32,13,30,19,9,3,8,31,11,17,27,22,1,14,23,6,15,21,25,10,5,0,12,7,20,2,16,4,18,26 1124.0 25.86 10.0 44900.0 0.8752242606462559 23.045
3,17,31,32,9,7,27,14,29,28,13,11,1,2,22,19,23,18,15,21,0,10,30,12,25,8,5,20,24,16,4,26,6 1364.0 32.196000000000005 7.0 74700.0 0.9511107049335863 27.023000000000003
22,15,31,32,28,16,19,9,3,8,24,14,11,27,13,1,23,6,18,17,21,0,10,5,25,12,7,30,29,20,2,4,26 1375.0 26.836000000000002 8.0 76200.0 0.9186132959057071 23.208
19,17,31,32,24,16,22,14,5,29,28,13,11,8,27,1,23,6,3,18,15,21,0,10,25,12,7,30,9,20,2,4,26 1355.0 28.164 8.0 73700.0 0.7431604882133995 20.895
28,29,31,32,27,30,19,9,3,8,24,17,11,1,22,13,14,23,6,18,15,16,25,5,0,21,12,7,10,2,20,4,26 1179.0 20.76 10.0 53600.0 0.8756842606462559 23.045
28,17,31,32,13,30,27,3,8,19,14,9,11,22,23,24,29,1,6,18,15,21,0,10,12,25,7,5,20,2,16,4,26 1228.0 23.500000000000004 10.0 58000.0 0.8651023786673477 23.095
8,24,31,32,27,7,14,3,28,9,17,22,13,19,1,23,11,2,29,6,18,15,21,0,10,5,25,12,30,20,16,4,26 1330.0 46.58 7.0 71200.0 0.7816876063348416 23.17
8,31,32,24,16,7,14,3,28,9,17,22,13,19,1,23,11,6,18,15,21,25,10,5,0,12,30,29,20,2,27,4,26 1385.0 47.274 7.0 77400.0 0.8339164777769668 21.97
28,29,31,32,27,30,19,9,3,8,24,17,11,1,22,13,14,23,6,18,15,21,0,10,5,25,12,7,20,2,16,4,26 1139.0 23.096000000000004 10.0 47200.0 0.8754142606462559 23.045
