# Problem = StaticVNFPlacementProblem
# Variables = 1
# Objectives = 6
29,1,54,13,8,20,47,53,32,17,46,36,51,0,26,7,33,52,42,5,40,18,2,48,37,50,30,35,10,24,28,23,31,11,15,34,55,27,14,43,12,38,44,21,41,25,6,3,39,4,16,22,9,49,45,19 2162.0 47.515000000000015 15.0 77700.0 1.5445221693548388 42.525999999999996
29,1,54,20,46,47,53,32,17,51,8,36,33,26,7,28,0,42,50,35,40,18,2,48,30,31,5,10,24,52,11,23,14,15,39,34,55,41,13,43,12,38,44,21,27,25,6,3,4,16,22,9,49,45,37,19 2579.0 55.610000000000014 12.0 136900.0 1.4587544534739454 41.105999999999995
29,1,54,13,8,20,47,53,32,17,46,36,51,0,26,7,33,52,42,5,40,18,2,48,37,50,35,30,10,24,41,11,23,31,28,15,34,38,14,12,55,43,44,21,27,25,6,3,39,4,16,22,9,49,45,19 2355.0 39.910000000000004 14.0 105100.0 1.4759964838709678 41.824999999999996
29,54,8,13,47,49,53,26,17,46,36,18,32,7,33,52,42,20,5,40,51,2,48,37,30,31,35,10,24,11,1,23,50,28,15,34,55,27,14,43,12,38,44,21,41,45,4,3,39,25,16,22,9,0,6,19 2692.0 46.955999999999996 14.0 152800.0 1.4308216001720055 39.66499999999999
29,1,54,20,46,47,53,32,17,51,8,36,0,26,7,28,52,34,5,40,18,48,2,35,37,50,30,10,24,27,11,31,42,15,13,33,55,23,14,43,12,38,44,21,41,25,6,3,39,4,16,22,9,49,45,19 2215.0 38.885000000000005 15.0 88700.0 1.4457443472394538 40.63
5,1,42,46,28,47,20,32,17,51,8,0,26,7,13,33,40,50,52,18,35,2,48,37,30,54,29,36,10,24,41,11,23,31,53,15,34,55,14,12,38,43,44,21,27,25,6,3,39,4,16,22,9,49,45,19 2507.0 61.54000000000001 10.0 123400.0 1.4433022701612903 39.312
29,54,8,13,47,49,53,26,17,46,36,18,32,7,33,52,42,20,5,40,51,2,48,37,30,31,35,10,24,11,1,23,50,28,15,34,55,27,14,43,12,38,44,21,41,25,6,3,39,4,16,22,9,0,45,19 2482.0 53.455999999999996 14.0 160200.0 1.4314196001720052 39.66499999999999
42,1,5,46,53,47,20,32,17,51,8,36,0,26,7,13,33,40,50,52,18,35,2,48,37,30,54,29,10,24,41,11,23,31,28,15,34,55,14,12,38,43,44,21,27,25,6,3,39,4,16,22,9,49,45,19 2365.0 55.29700000000001 16.0 106000.0 1.3375054722394542 38.169999999999995
29,5,54,20,46,47,53,32,17,51,8,36,49,26,7,33,42,40,13,18,35,2,48,37,30,31,52,10,24,11,1,23,50,28,15,34,55,27,14,43,12,38,44,21,41,45,4,3,39,25,16,22,9,0,6,19 2713.0 52.615 12.0 148400.0 1.424450053349876 39.985
29,1,54,13,8,20,47,53,32,17,46,36,51,0,26,7,33,52,42,5,40,18,2,48,37,50,35,30,10,24,11,23,31,28,15,34,55,27,14,43,12,38,44,21,41,25,6,3,39,4,16,22,9,49,45,19 2169.0 47.51500000000001 15.0 78000.0 1.544642169354839 42.525999999999996
29,1,54,46,53,47,20,32,17,51,8,36,0,26,7,13,33,40,42,5,52,2,48,37,30,31,35,18,10,24,11,23,50,28,15,34,55,27,14,43,12,38,44,21,41,25,6,3,39,4,16,22,9,49,45,19 2225.0 46.685 15.0 86600.0 1.5481837318548382 42.525999999999996
#
4,23,38,0,41,45,27,50,13,52,53,47,49,24,37,32,26,12,1,17,3,9,8,36,19,29,42,48,31,7,11,55,5,43,35,34,54,18,39,10,22,33,44,14,46,20,51,28,16,40,21,25,30,6,15,2 2201.0 55.35 17.0 85100.0 1.4275677763191505 42.464999999999996
4,23,27,38,0,40,45,50,13,52,24,53,47,29,49,32,37,19,26,1,46,8,9,36,17,12,42,48,31,7,11,55,43,41,35,34,54,39,10,22,3,14,5,20,51,18,28,16,33,21,25,30,6,44,15,2 2388.0 32.81 12.0 110300.0 1.4355342468982628 40.31
4,23,27,38,0,40,45,50,13,52,24,53,47,29,49,32,37,19,26,1,46,8,9,36,3,12,42,48,31,7,11,55,17,43,35,34,54,39,10,22,41,14,5,20,51,18,44,28,16,25,33,21,30,6,15,2 2340.0 32.505 14.0 104100.0 1.4335741315136477 40.36
4,23,27,38,0,40,45,50,13,16,24,53,47,29,19,37,26,12,1,17,3,9,8,36,32,49,42,48,31,7,11,55,46,43,35,34,54,18,39,10,22,41,14,5,20,51,44,28,52,33,21,25,30,6,15,2 2495.0 47.096000000000004 14.0 125000.0 1.3507547745037218 40.385000000000005
39,23,21,0,3,27,40,45,13,52,24,47,36,49,32,37,19,26,17,46,8,9,41,29,12,42,48,31,38,53,1,7,11,55,43,50,35,34,4,10,22,54,14,5,20,51,44,18,16,33,28,25,30,6,15,2 2643.0 55.93000000000001 14.0 144900.0 1.3689575632754343 38.43
