# Problem = StaticVNFPlacementProblem
# Variables = 1
# Objectives = 6
26,27,11,9,1,7,24,28,12,17,25,3,5,15,6,8,0,2,19,16,13,21,4,23,14,29,10,20,18,22 1264.0 36.91 7.0 66800.0 0.7749448802729528 20.924999999999997
18,11,26,9,1,7,24,28,12,17,25,3,2,23,6,8,0,27,5,15,13,21,4,16,14,29,22,10,20,19 1193.0 44.239999999999995 10.0 72500.0 0.7584350528846154 22.683000000000003
7,11,26,16,27,19,24,28,12,1,25,3,2,15,6,8,5,23,13,21,0,9,4,17,14,29,22,10,20,18 1215.0 35.17999999999999 9.0 60800.0 0.7427602655086848 20.834999999999997
27,11,26,9,1,7,24,28,12,17,25,3,5,15,6,8,0,2,19,16,13,21,4,23,14,29,10,20,22,18 1083.0 30.4 9.0 44500.0 0.9366364850082713 22.73
27,11,26,9,1,7,24,28,17,25,3,2,15,6,29,8,23,13,21,0,5,12,4,16,14,22,19,10,18,20 1191.0 40.08 10.0 40200.0 0.9200785571236558 22.855
27,11,26,24,9,1,7,28,12,17,25,3,5,15,6,20,0,2,19,13,21,4,16,14,29,22,8,10,18,23 1054.0 25.2 8.0 41100.0 0.9513730309139784 22.73
27,11,26,9,1,2,24,28,12,17,25,3,7,15,6,8,0,19,5,21,13,4,16,14,29,22,20,10,18,23 1032.0 21.520000000000003 10.0 38500.0 0.9453329059139784 22.73
27,11,26,9,1,7,24,28,12,17,25,3,2,15,6,8,5,23,13,21,0,4,16,14,29,22,20,10,18,19 1014.0 25.2 10.0 36200.0 0.9452269059139783 22.73
#
3,5,7,1,26,17,2,6,4,16,28,24,19,10,23,8,9,29,27,15,0,14,25,12,18,20,13,11,22,21 1003.0 49.12 10.0 34400.0 0.718999776674938 22.085
3,5,7,1,26,17,2,4,6,16,28,24,19,10,23,8,9,20,11,25,12,27,14,29,18,15,0,13,22,21 1003.0 41.62 10.0 37700.0 0.6970475629652605 21.299999999999997
11,5,26,24,2,6,4,23,28,22,3,25,1,19,12,10,16,9,8,15,27,7,13,14,29,20,0,17,18,21 1167.0 23.55 8.0 57100.0 0.814942691641731 22.505000000000003
26,5,7,2,11,4,16,28,21,6,0,12,19,1,10,23,8,14,15,27,24,9,25,29,18,17,13,20,22,3 1185.0 27.4 8.0 57800.0 0.7869517386786602 20.775
11,5,26,1,29,6,4,16,28,14,21,12,24,19,2,10,23,9,8,15,27,7,17,18,25,20,22,13,0,3 1207.0 33.339999999999996 7.0 60000.0 0.8324994480550285 23.270000000000003
16,5,7,1,26,3,17,2,4,6,28,0,12,19,24,10,23,9,8,15,27,13,18,29,25,20,14,11,22,21 1138.0 31.204 10.0 51400.0 0.7735553446029778 21.316
11,5,24,18,2,6,13,4,16,28,0,12,19,1,10,23,8,14,15,27,7,26,3,9,25,20,17,29,22,21 1079.0 32.794000000000004 8.0 44000.0 0.8453028743978981 24.15
17,5,7,1,26,2,6,4,16,3,28,24,19,10,23,8,9,27,15,11,14,18,12,29,25,20,0,13,22,21 1101.0 40.84 9.0 42000.0 0.7206473461538462 23.349
11,5,7,0,2,1,29,4,16,28,3,6,12,19,10,23,9,8,22,27,24,26,18,14,25,20,17,13,15,21 1148.0 28.244 9.0 52800.0 0.782970314479638 23.334999999999997
#
24,3,17,28,7,5,2,1,10,23,13,0,18,9,27,29,6,4,25,20,12,14,26,8,15,11,16,19,22,21 1044.0 32.8 10.0 39700.0 0.741662716191067 23.2
27,0,26,28,7,10,5,1,2,6,8,29,18,9,24,11,23,4,25,20,12,14,13,15,3,17,16,19,22,21 1333.0 27.599999999999998 8.0 77000.0 1.0911322991108354 23.395
24,3,17,28,7,10,1,9,18,23,13,25,0,29,2,5,6,4,27,11,26,20,12,8,15,16,14,19,22,21 1088.0 22.91 10.0 46600.0 0.7690363895781638 22.735
27,0,20,28,7,10,5,1,2,6,8,29,18,9,24,11,23,12,15,26,4,14,13,25,17,16,19,3,22,21 1277.0 29.794 8.0 69400.0 0.8898607253928867 22.305
7,9,13,28,24,5,22,23,1,10,20,14,29,3,27,11,6,4,17,19,0,25,26,8,15,16,18,12,2,21 1332.0 39.08 8.0 75800.0 0.7589030946029779 20.834999999999997
24,3,17,28,7,5,2,1,10,23,13,0,18,9,27,11,6,4,25,29,26,14,19,8,15,16,20,12,22,21 1065.0 25.91 9.0 44800.0 0.7886041315136477 23.415
8,3,20,28,7,10,1,9,2,23,13,25,0,29,27,11,6,5,15,26,4,14,12,19,24,17,16,21,22,18 1280.0 35.44 11.0 69800.0 0.7224799454094294 20.799999999999997
7,5,13,28,27,9,23,2,1,10,26,14,29,3,24,11,6,4,25,17,0,19,8,15,16,20,12,22,18,21 1447.0 31.880000000000003 9.0 89600.0 0.734667914081886 20.95
23,9,3,17,28,7,6,2,1,10,20,14,29,5,24,11,25,27,18,0,26,13,12,8,15,16,4,19,22,21 1142.0 38.099999999999994 11.0 47400.0 0.779564339174938 22.09
24,3,17,28,7,5,1,10,23,13,0,18,9,27,29,6,25,15,26,4,14,2,20,8,12,11,16,19,22,21 1179.0 30.72 9.0 57300.0 0.731091429280397 23.415
